ID,Baþlýk (Title),Kaynak (Source),Model,Prompt (Ýngilizce),Prompt (Çince),Etiketler (Tags),Orijinal Kaynak Adý,Orijinal Kaynak URL,Resim URL 1,Resim URL 2,Resim URL 3
songguoxs_630,??????????????,songguoxs/gpt4o-image-prompts,Nano banana pro,"A highly realistic, highly detailed, photorealistic 8K mirror selfie taken with an iPhone 15 Pro Max. Zootropolis fandom aesthetic.
Scene: A guy and a girl pose together in front of an oval mirror in a Disney toy store.
The guy on the left has a playful expression, matching the reference photo. The girl on the right  winks playfully, holding a bright yellow phone. Metallic nail polish.
Clothing and accessories:
• Both are wearing large plush Disney Zootropolis character hats.
The guy on the left in Photo 1—Nick Wilde's orange hat with large fox ears embroidered with sly eyes.
 Girl in photo 2 on the right—gray Judy Hopps hat with long pink bunny ears, large purple eyes.
• Photo 1 on the left—clothes and hair match the attached photo.
• Photo 2 on the right—wearing a hot pink halter top. Long, straight hair.
A pearl necklace fits snugly around her neck.
She has rings on several fingers.
Girl in photo 2's makeup: Korean K-beauty; glass skin; subtle blush; black eyeliner; colored contacts (blue/gray); pink and rosy ombre lipstick.
Background: Disney gift shop interior; frosted shelves filled with toys; holiday mall lighting; decorative ceiling chandelier.
Quality and detail: 8K, highly realistic plush texture (individual fur fibers), vibrant, saturated colors, soft commercial mall lighting, no noise, perfectly sharp focus on face and hat, mirror selfie in frame.","??? iPhone 15 Pro Max ?????????????? 8K ???????«?????»????????
??:?????????????????????
??????????,????????????????????,?????????????????????????
?????:
•????????«?????»??????????
?? 1 ?????——??·????????,??????????????????
?? 2 ?????——???????·?????,??????????????????????
• ???? 1——???????????
• ????2——?????????,????????
??????????????????
?????????????
?? 2 ??????:?? K-beauty;???;?????;????;??????(???);???????????
??:????????;?????????;??????;?????????
?????:8K,?????????(?????),???????,?????????,???,???????????,?????????",animal; character; fashion; interior; landscape; nature; photography; toy,@kingofdairyque,https://x.com/kingofdairyque/status/1994745605621780533,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/630.jpeg,,
songguoxs_629,??????9????????,songguoxs/gpt4o-image-prompts,Nano banana pro,"<instruction> (??)
???????????????????????(????????/???????????)??????/???
??????? 3x3 ??“????(Contact Sheet)”,???????????????? 9 ??????
???????????????????(??,?????,???????;?????,????????):
? 1 ?(????):
??? (ELS): ??????????????
?? (LS): ??????????????(???? / ??????)?
??? (????/????): ???????(????)? 3/4 ??(????)?
? 2 ?(????):
4. ?? (MS): ???????(????????)??????/???
5. ??? (MCU): ??????????????????
6. ?? (CU): ???????????“??”?
? 3 ?(?????):
7. ??? (ECU): ?????????(??????????)??????
8. ????? (??/??): ???????(??/???)?
9. ????? (??/??): ????????
????????:?? 9 ??????????/???????????????????????(??????????)?
</instruction>
???? 9 ?????? 3x3 ????????
???????????????????????/???
??: ??????,???,3/4 ??(???)?
???: ??????,??????,??/?????
??: ????,???,????
??????????????,????????,???????????????????????",,landscape; logo; portrait; vehicle,@songguoxiansen,https://x.com/songguoxiansen/status/1994783047825473774,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/629.jpeg,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/629-2.jpeg,
songguoxs_628,??????????,songguoxs/gpt4o-image-prompts,??Z-Image-Turbo,"??:???????????,????????
????????????????,????????????????????????,?????????????????????,??????,?????????????????,????????????????????(????),???????????,8K?????????",,photography,@songguoxiansen,https://x.com/songguoxiansen/status/1994691557338013951,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/628.jpeg,,
songguoxs_627,MacBook Pro ???????,songguoxs/gpt4o-image-prompts,Nano banana pro,MacBook Pro ??????????,????????? 1/3 ??????????????MacBook;?? 2/3 ???????????,M????????????????????,?Knolling???????????,??????,????,--ar 16:9,,photography; product,@songguoxiansen,https://x.com/songguoxiansen/status/1994671420480356417,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/627.jpeg,,
songguoxs_626,???????-?????,songguoxs/gpt4o-image-prompts,Nano banana pro,???????,????,?????,????,????,??????,?????,,minimalist; paper-craft,@songguoxiansen,https://x.com/songguoxiansen/status/1994949753524609418,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/626.jpeg,,
songguoxs_625,???????????,songguoxs/gpt4o-image-prompts,Nano banana pro,"Use the uploaded photo. 
Do NOT alter the person’s real appearance — keep the person’s face, body, clothing, colors, and texture completely photorealistic. 
Do NOT change the background perspective. 
Do NOT turn the person into a drawing or illustration.

Add a dense, overloaded layer of pop-style illustrated “sweets monsters” and graphic decorations ONLY around the person (and on top of their clothing if needed), but never on their skin or face.

Illustrated elements:
- many colorful cartoon monsters with thick black outlines, flat colors, and cute-but-ugly expressions
- sweets-inspired monsters: bananas, cookies, strawberries, melting chocolate, lollipops, ice cream, oranges, cupcakes, donuts, candy pieces, soda bottles, etc.
- additional graphic shapes: stars, hearts, arrows, drips, splashes, zigzag lines, exclamation marks, motion lines, sparkles, bubbles, comic-style text shapes (but no real text)

Make the decoration very dense and “busy”:
- fill the space behind the person with overlapping sweets monsters and shapes
- add monsters peeking from behind the shoulders, around the bag, at the person’s feet, and near the head
- allow some monsters and shapes to overlap the clothing and accessories (shirt, shorts, bag, shoes), but keep the skin of the face, arms, and legs photorealistic and visible
- use multiple layers of illustrations in front of and behind the person to create depth
- add glowing outlines, small white dots, and speed lines around the person to emphasize energy

Color and style:
- use a vivid, neon-like color palette (hot pink, yellow, cyan, lime, orange, purple, turquoise)
- keep all illustrated elements flat and graphic with clean edges and bold outlines
- ensure shadows and overlap suggest interaction with the real person (e.g., slight shadows on clothing where monsters touch)

Overall goal:
Create a highly decorated, maximalist pop-art scene where the real person stands in the middle, surrounded and wrapped by a chaotic crowd of playful sweets monsters and graphic doodles, while the person remains clearly photorealistic.","??????????
???????????——????????????????????????
?????????
????????????????

?????(??????????)?????????????????“????”?????,????????????

????:
- ???????????,?????,????,????????
- ?????????:??????????????????????????????????????????????
- ??????:???????????????????????????????????????????(?????????)

??????????:
- ???????????????????
- ??????,???????????????????????????
???????????????(??????????)??,???????????????????
- ?????????????????
- ???????????????????,??????

?????:
- ????????????(???????????????????????)
- ???????????????,????,?????
- ?????????????????(??,??????????????????)

????:
????????????????????,????????,???????????????????,??????????????",cartoon; fashion; food; illustration; landscape; neon; paper-craft; photography; portrait; vehicle,@AI_GIRL_DESIGN,https://x.com/AI_GIRL_DESIGN/status/1993243344932413597,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/625.jpeg,,
songguoxs_624,???????,songguoxs/gpt4o-image-prompts,Nano banana pro,"Hand-drawn watercolor infographic, warm soft watercolor texture, pink tone, cute and clean design, 4:5 ratio, 1080x1350.

??:???????????????,????,?????,???????

???(??):????????????????????!

????(????):
??????,????“????”,?????????????

????(AI ?????,????):
1. ???? › ???C(Vitamin C ????)
2. ???? › ???A(Vitamin A ????)
3. ?? › ???B????D(B??D ????)
4. (???????????????????)

????:
????????????????????????
????????????
?????????????
????????????????
??????????????

Lighting: soft, diffuse watercolor lighting.
Avoid: ?????????????????????????

best quality, high-res, clean edges, masterpiece.",,cartoon; character; illustration; infographic; nature; portrait; typography,@cnyzgkc,https://x.com/cnyzgkc/status/1994954677579125124,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/624.jpeg,,
songguoxs_623,???????,songguoxs/gpt4o-image-prompts,Nano banana pro,"Analyze this work in depth and critique it. In the image, mark the points that need correction and the points that are well done in red. Critique with unreserved opinions like a top art university lecturer.",?????????????????????????????????????????????????????,??????????????,creative,@SSSS_CRYPTOMAN,https://x.com/SSSS_CRYPTOMAN/status/1994613956007039007,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/623.jpeg,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/623-2.jpeg,
songguoxs_622,????????????,songguoxs/gpt4o-image-prompts,Nano banana pro,"{
  ""image_description"": {
    ""face"": {
      ""preserve_original"": true,
      ""reference_match"": true,
      ""description"": ""Use the same facial features and identity from the uploaded image without altering any structure, proportions, or expression.""
    },

    ""photo_style"": {
      ""type"": ""indoor cinematic portrait"",
      ""camera_angle"": ""mid-shot, straight-on"",
      ""lighting"": ""soft warm indoor lighting with gentle highlights on skin and satin fabric"",
      ""mood"": ""elegant, confident, sophisticated"",
      ""depth_of_field"": ""shallow with lightly blurred background""
    },

    ""subject"": {
      ""pose"": ""standing with relaxed posture, one hand resting on a wooden surface, body slightly turned forward"",
      ""expression"": ""calm, confident, slightly serious with bold red lips"",
      ""hair"": {
        ""style"": ""messy elegant bun with loose face-framing strands"",
        ""color"": ""dark brown""
      },
      ""clothing"": {
        ""type"": ""deep red satin button-up blouse"",
        ""details"": ""luxurious sheen, slightly open neckline, sleeves loosely rolled""
      },
      ""accessories"": {
        ""necklaces"": [
          {
            ""type"": ""gold chain"",
            ""pendant"": ""large emerald green stone""
          },
          {
            ""type"": ""gold chain"",
            ""pendant"": ""black square pendant""
          }
        ],
        ""earrings"": ""crystal drop earrings"",
        ""watch"": ""light-tone watch on left wrist""
      }
    },

    ""environment"": {
      ""setting"": ""elegant indoor room"",
      ""background"": [
        ""decorative tapestry or framed wall art featuring pastoral scene"",
        ""warm-toned walls"",
        ""soft, classic interior elements""
      ],
      ""atmosphere"": ""warm, refined, cinematic""
    },

    ""aesthetic"": {
      ""style"": ""luxury editorial portrait"",
      ""features"": [
        ""warm tones"",
        ""rich textures"",
        ""glowing satin reflections"",
        ""elegant jewelry highlights"",
        ""balanced cinematic composition""
      ]
    }
  }
}","{
""image_description"": {
“?”: {
""preserve_original"": true,
""reference_match"": true,
“??”:“?????????????????,????????????????”
},

""photo_style"": {
“??”:“??????”,
""camera_angle"": ""mid-shot, straight on"",
“??”:“?????????,??????????????????”,
“??”:“????????”,
""depth_of_field"": ""???,??????""
},

“??”: {
“??”:“??????,??????????,??????”,
“??”:“??????????,???????”,
“??”: {
“??”:“???????,??????????”,
??:???
},
“??”: {
“??”: “?????????”
??:????,???????,???????
},
“??”: {
“??”:[
{
“??”:“??”,
“??”: “???????”
},
{
“??”:“??”,
“??”: “??????”
}
],
“??”: “??????”
“??”: “?????????”
}
},

“??”: {
“??”:“???????”,
“??”: [
“??????????????????”
“??????”,
“??????????”
],
“??”:“?????????”
},

“???”: {
“??”: “???????”
“??”: [
“???”,
“?????”,
“???????”,
“???????”,
“???????”
]
}
}
}",interior; landscape; photography; portrait,@ZaraIrahh,https://x.com/ZaraIrahh/status/1994586672504181025,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/622.jpeg,,
songguoxs_621,?????????????,songguoxs/gpt4o-image-prompts,Nano banana pro,"A minimal sunlit wall. Sharp, elongated shadow of a human hand holding the exact product from the uploaded image. Recreate the product’s silhouette precisely in the shadow, accurate bottle shape, cap, edges, proportions. Project the product’s real label text (taken from the uploaded image) onto the shadow in clean, crisp white typography, perfectly matching placement, spacing, and size.Warm afternoon sunlight, soft grain, smooth beige wall texture. Ultra-minimal, high-end skincare aesthetic. No extra objects, no color except the natural wall tone. Artistic shadow-play composition, subtle dreamy atmosphere, natural imperfections on the wall, gently diffused light",???????????????????????????,??????????????????????????,???????????????????????????(??????)????????????????,??????????????????????,??????????????????????????????,?????????????????????,??????????,?????????,?????????,minimalist; nature; product; typography; vehicle,@egeberkina,https://x.com/egeberkina/status/1994380091241922920,https://raw.githubusercontent.com/songguoxs/gpt4o-image-prompts/master/images/621.jpeg,,
