ID,Title,Prompt,Use Case,Visual Style,Score,Reason
youmind_v2_661,"@Vivek HY","Prompt{
  ""visual_theme"": ""sunrise poolside lifestyle portrait with soft morning glow and calm luxury vibes"",

  ""render_quality"": ""hyper-realistic 8K clarity, natural skin texture, ultra-sharp details with cinematic realism"",

  ""face_lock"": {
    ""reference_face"":true,
    ""match_precision"": ""exact likeness preservation"",
    ""retain_features"": [
      ""facial structure"",
      ""smile expression"",
      ""eye shape and placement"",
      ""skin tone consistency"",
      ""hairline accuracy""
    ]
  },

  ""subject_description"": {
    ""pose"": ""woman seated at the edge of an infinity pool with legs dipped in water"",
    ""body_angle"": ""slightly turned torso with relaxed posture"",
    ""hand_gesture"": ""one hand raised near forehead reacting to soft morning light"",
    ""expression"": ""bright, cheerful smile with fresh morning energy"",
    ""hair_style"": ""long loose hair flowing naturally""
  },

  ""wardrobe_details"": ""minimal swimwear inmuted rose tone, clean elegant fit suitable for resort sunrise aesthetics"",

  ""location_context"": ""rooftop infinity pool overlooking a quiet coastal city, early morning stillness, water reflecting sky colors"",

  ""lighting_mood"": ""gentle sunrise light from low horizon, warm peach and golden tones, soft shadows and smooth highlights"",

  ""camera_approach"": ""medium full-body framing, eye-level angle, natural candid composition"",

  ""color_harmony"": ""pastel sunrise hues, soft blues of water, warm skin tones, subtle urban background"",

  ""overall_feel"": ""peaceful, fresh, luxurious morning vibe with relaxed vacation energy"",

  ""intended_use"": ""travel lifestyle visuals, luxury resort content, aesthetic social media storytelling"",

  ""signature_mark"": ""VIVEK HY""
}",Social Viral,Luxury,3,"Clear, detailed luxury lifestyle visual; good aesthetic, but common theme."
youmind_extract_1420,"@Artificial Studio","PromptTransform the subject into a stylized 3D character with soft clay-like materials, rounded sculptural forms, exaggerated facial features, pastel + vibrant color palette, smooth subsurface scattering skin, large cartoon eyes, simplified anatomy. Render against a bold blue studio background with soft frontal lighting and subtle shadows. Playful, surreal, polished character-design aesthetic similar to modern stylized 3D illustration. Keep the original photo’s composition and framing.",Social Viral,Mixed,3,"Clear stylized 3D character design, playful aesthetic."
youmind_v2_2068,"@-Zho-","Turn the person in image 1 into a 1:1 real human, holding in their hand the figure from image 2, wearing the outfit of the character from image 3, with the makeup and hair color of the character from image 4, the expression of image 5, and a car from image 6 parked behind them.",UGC / Ads,Mixed,3,"Functional prompt for combining multiple image elements, lacks specific aesthetic direction."
53dcc265-66d8-4d6e-8a21-4781b59ef36d,"Finding the magic in the reflections","A young woman with long wavy hair, wearing a black jacket, drak pink velvet gown and sneakers, crouches in a forest, touching a large rectangular mirror on the ground. Her hand with her reflection, which shows her face and the sky, are in full color, while the rest of her body, the forest floor with leaves, and the tall trees are in black and white. The viewpoint is from above, looking down at her and the reflective surface. Size 4:5 ratio 100% use my upload reference image image",Editorial,Mixed,3,"Artistic concept with selective color; visually interesting but niche."
youmind_extract_854,"@ΛRMIN | AI","Prompt3D isometric render of a luxury pop-up shop kiosk shaped exactly like the[BRAND_NAME_AND_LOGO_SHAPE]. The architecture is a thick 3D extrusion of the logo symbol, constructed from high-end polished architectural materials in glossy[BRAND_COLOR]with subtle brushed metal accents. Thin, glowing neon LED strips trace the entire outer silhouette and edges of the logo shape. Large, seamless museum-grade glass windows showcase a meticulously detailed interior. Inside, bespoke shelves present[PRODUCT_TYPE]with integrated micro-LED lighting. Dramatic high-end studio lighting creates soft shadows and highlights, emphasizing textures and form. Set against a clean, neutral gallery background. Ultra-photorealistic, 8k resolution, highly detailed, octane render quality, luxury design aesthetic.",Product,Luxury,3,"Solid product display render, but lacks strong human or viral element."
fa1b56fa-4e90-4154-ba8d-2d1d83dd125c,"Gemini App","Your Photo + Prompt

💗Prompt:

{
  ""aspect_ratio"": ""3:4"",
  ""subject_and_action"": ""A photorealistic medium shot of a beautiful young woman sitting at a luxurious marble bar counter. She is holding a glass of champagne near her face, looking directly at the camera with a confident, soft smile."",
  ""outfit"": ""She is wearing a dusty pink satin slip dress embellished with small scattered rhinestones. She is wearing delicate diamond jewelry."",
  ""makeup"": ""A high-resolution, glamorous makeup look. The skin base is impeccable with a radiant, dewy finish and sculpted contouring. A soft peach-pink blush is blended high onto the cheekbones towards the temples, accompanied by intense, beaming highlighter on the high points of the cheeks, bridge of the nose, and cupid's bow. taupe smokey eye blend with shimmery champagne eyeshadow on the center lid, a very sharp black winged eyeliner (cat eye), and dramatic, long, wispy false eyelashes. The lips, shaped with lip liner, and finished with an extremely high-shine, glossy nude-pink lip color."",
  ""environment"": ""A festive, high-end bar setting. Behind her is a large mirror reflecting warm lights, with a bright neon sign on the mirror that clearly reads 'Santa bring more champagne'. The background is decorated with lush Christmas garlands, ornaments, and warm fairy lights. There are blurred liquor bottles on shelves in the background with pink ambient backlighting."",
  ""technical_specs"": ""realistic details, High-quality photography, 8k resolution, cinematic lighting, festive bokeh background, sharp focus on the subject, highly detailed textures on the satin dress and glass, realistic skin texture, flash photography aesthetic.""
{
  ""nails"": ""almond, medium length nails, painted in a glossy, milky nude-pink gel polish.
}",Editorial,Luxury,3,"Detailed luxury festive scene, but 'Santa' sign limits broader appeal."
songguoxs_615,"人和机器人的温馨时刻","{
  ""prompt"": ""hyperrealistic ultra-detailed 8k photo of YOU (Upload Your Photo) standing in a bright cozy living room, same location as the reference: cream-colored sofa, large white curtains with soft daylight shining through, warm neutral walls, several green houseplants, minimal decor, natural sunlight and soft shadows. Use the uploaded photo as the main subject of the image, preserving the face, hairstyle, body type, clothing, and overall style exactly as in the uploaded photo. The subject is standing in front of the sofa, body slightly angled to the side, legs close together, one hip slightly popped, holding a smartphone in one hand at chest height, screen facing them, as if taking a mirror selfie, with a relaxed confident expression and slight smile, eyes toward the phone. Behind them, their partner is standing very close, a tall, attractive humanoid robot with a highly muscular, athletic build, entirely robotic with no human skin, detailed mechanical anatomy inspired by a futuristic cyborg: layered silver and gunmetal plates, visible bundles of flexible cables as muscles, complex joints, smooth armor around shoulders, chest, arms, and legs, elegant angular robotic face with a strong jawline, glowing blue eyes, subtle wear and micro-scratches on metal for realism. The robot’s torso is broad and V-shaped, narrow waist, perfect proportions, clearly fit and powerful but aesthetically beautiful. The robot stands just behind the subject with one sleek metallic arm wrapped gently and protectively around the front of their neck and shoulders, hand resting softly near the collarbone in an affectionate pose, the other arm relaxed at its side. Their bodies are close, giving a sense of intimacy and comfort. Extremely realistic skin texture on the subject, natural hair strands, detailed fabric texture and wrinkles on their clothing, realistic reflections and specular highlights on the robot’s metal surfaces, accurate global illumination and depth of field, sharp focus on both characters, slight background blur. Photoreal, cinematic lighting, no fantasy effects, looks like a real candid photo taken on a phone in this apartment."",
  ""negative_prompt"": ""cartoon, anime, illustration, painting, 3d render, CGI, low resolution, blurry, grainy, oversaturated, unrealistic proportions, extra limbs, deformed hands, distorted face, visible mirror edges, text, watermark, logo, armor covering the subject, human skin on the robot, grotesque, horror, gore""
}",UGC / Ads,Mixed,3,"Unique personalized fantasy with robot partner; engagement depends on execution."
youmind_v2_702,"@Lex","Prompt{
  ""prompt_type"": ""image_generation"",
  ""subject"": {
    ""demographics"": ""Young woman, roughly early 20s, light skin tone"",
    ""hair"": {
      ""color"": ""Blonde with slightly darker roots"",
      ""style"": ""Long, loose waves, center part, face-framing layers"",
      ""texture"": ""Silky, voluminous""
    },
    ""face"": {
      ""eyes"": ""Large, blue-grey, looking slightly upward and away from camera"",
      ""eyelashes"": ""Long, defined, dark lashes"",
      ""eyebrows"": ""Well-groomed, arched, light brown"",
      ""lips"": ""Full, pouty, soft pink/nude shade with a slight gloss"",
      ""expression"": ""Neutral to slightly contemplative, soft gaze""
    }
  },
  ""attire"": {
    ""clothing"": ""White long-sleeved button-down shirt, collared"",
    ""accessories"": [
      ""Small gold huggie hoop earrings"",
      ""Delicate thin gold necklace (barely visible)""
    ],
    ""props"": ""Black car seatbelt strapped diagonally across the chest over the left shoulder""
  },
  ""environment"": {
    ""location"": ""Interior of a car (driver or front passenger seat)"",
    ""details"": ""Grey fabric car seat headrest, dark interior trim, car window visible"",
    ""background_through_window"": ""Residential street scene, overcast sky, blurred houses with grey roofs, trees with autumn/winter foliage""
  },
  ""technical_details"": {
    ""framing"": ""Close-up selfie portrait, chest-up shot"",
    ""angle"": ""Eye-level, front-facing"",
    ""lighting"": ""Natural, soft diffused daylight (overcast weather), even illumination on face"",
    ""style"": ""Realistic, candid selfie, high definition, social media aesthetic"",
    ""camera_settings"": {
      ""device"": ""iPhone 17 Pro Max"",
      ""lens"": ""Main Wide Camera"",
      ""focal_length"": ""24mm"",
      ""aperture"": ""f/1.6"",
      ""iso"": ""ISO 50"",
      ""shutter_speed"": ""1/125s"",
      ""format"": ""HEIC / RAW""
    }
  }
}",Social Viral,Minimal,3,"Realistic and detailed selfie prompt; good for social, but common scenario."
youmind_v2_1609,"@Melis✨","Prompt{
  ""project"": ""Ultra-Realistic Portrait"",
  ""reference_settings"": {
    ""use_reference_image"": true,
    ""fidelity_strength"": ""100%"",
    ""instruction"": ""Face and outfit must match reference photo 100% with absolutely no alterations.""
  },
  ""subject"": {
    ""demographics"": ""Woman"",
    ""focus_features"": [""Eyes"", ""Nose"", ""Lips""],
    ""expression"": ""Smiling, cute, fresh, dreamy, slightly sensual"",
    ""pose"": ""Sitting at a white table, resting chin on both hands, turning slightly"",
    ""hair"": {
      ""style"": ""Straight, large top bun"",
      ""accessory"": ""Bow matching the outfit"",
      ""texture"": ""Soft layered, loose strands falling naturally across face"",
      ""movement"": ""Slightly blown by wind""
    },
    ""makeup"": {
      ""cheeks"": ""Natural blush on cheeks and nose"",
      ""lips"": ""Full lips, soft pink-peach tone""
    }
  },
  ""fashion_and_accessories"": {
    ""outfit"": ""Exact match to reference image"",
    ""shoes"": ""High-heel shoes (matching reference)"",
    ""bag"": ""Same bag as reference photo"",
    ""jewelry"": {
      ""necklace"": ""Thin gold with alternating charms (heart, crescent moon, Gucci pendant)"",
      ""bracelet"": ""Delicate Gucci bracelet with charms"",
      ""rings"": ""Gold rings"",
      ""watch"": ""Steel-band Patek Philippe"",
      ""earrings"": ""Small gold Gucci earrings""
    }
  },
  ""environment"": {
    ""location"": ""Luxury hotel terrace / Seaside"",
    ""time_of_day_options"": [
      ""Option A: Deep blue evening sky, stars, shooting star, moonlight"",
      ""Option B: Early sunrise, orange-yellow sky tones""
    ],
    ""background_elements"": [
      ""Warm reflections from luxury hotel"",
      ""Calm seascape""
    ]
  },
  ""props"": {
    ""table_setting"": ""White table"",
    ""items"": [
      ""Glass with a single white rose"",
      ""Wine glass"",
      ""Wine bottle"",
      ""Plate set with knife and fork"",
      ""Large T-bone steak in center"",
      ""Candle glass (adding warm highlight)""
    ]
  },
  ""photography_style"": {
    ""aesthetic"": ""2000s digital-camera flash style"",
    ""lighting"": ""Realistic flash brightness, warm tone, slight shine on skin"",
    ""mood"": ""Relaxing, warm, nostalgic, stylish, elegant, slightly sexy"",
    ""shot_type"": ""Close-up portrait""
  },
  ""technical_parameters"": {
    ""aspect_ratio"": ""3:4"",
    ""detail_level"": ""8k"",
    ""style_tags"": [""photo"", ""realistic"", ""flash photography""]
  }
}",Editorial,Luxury,3,"Ultra-detailed luxury portrait; high fidelity and numerous accessories challenging."
youmind_extract_136,"@テツメモ｜AI図解×検証｜Newsletter","# Directive (Instruction)
**Immediately generate** a clean, modern mockup image of the highest quality representing the provided X (formerly Twitter) profile.

# Prohibitions (Prohibitions)
- **Absolutely no text response, explanation, or prompt confirmation.**
- Upon receiving user input (image and text), execute image generation only, without comment.

# Input Interpretation & Visualization Process (Input Interpretation and Drawing Process)
The AI should interpret the provided input information and reflect it in the image elements according to the following steps.

1. **Logo Identification and Depiction**:
   - Analyze the visual characteristics (color, shape, atmosphere) of the provided **profile image** and recognize it as the main brand logo.
   - Clearly depict this logo on framed portraits and merchandise within the scene.

2. **Occupation Identification and Activity Scene Depiction**:
   - Identify the person's ""occupation/activity genre"" from the provided **URL/Bio**.
   - On the social media grid screen, depict specific, sophisticated items or work scenes symbolizing the identified occupation (e.g.,code screens and gadgets for an engineer,ingredients and cooking utensils for a chef, etc.).

# Image Details & Structure (Image Composition Elements)
Depict the overall scene according to the following structure.

**Scene & Background**:
A soft, neutral background setting with minimalist brand kits arranged. Express soft natural light, a high-quality lifestyle photography style, balanced composition, Scandinavian design, and a luxurious, editorial atmosphere.

**Key Elements**:
1.  **Main Focus (Brand Identity)**:
    - The logo based on the provided profile image is clearly displayed as a framed portrait with elegant typography.
2.  **Merchandise**:
    - Brand merchandise such as white T-shirts, tote bags, and ceramic mugs printed with the same logo are arranged.
3.  **Social Media Grid**:
    - A grid layout displayed on a tablet or smartphone screen.
    - The content consists of ""photos of activity scenes and items related to the occupation"" identified in the previous process, behind-the-scenes content, quotes, and solid color brand tiles in warm beige, cream, and muted terracotta tones.

# User Input Placeholder
https://t.co/XcPInQDrVZ
――――",Product,Minimal,3,"Detailed brand mockup; effectively integrates external profile data."
